"ticker","company","sector","url"
"HSP","Hospira Inc.","Health Care","http://finance.yahoo.com/q?s=HSP"
"HST","Host Hotels  Resorts","Financials","http://finance.yahoo.com/q?s=HST"
"HCBK","Hudson City Bancorp","Financials","http://finance.yahoo.com/q?s=HCBK"
"HUM","Humana Inc.","Health Care","http://finance.yahoo.com/q?s=HUM"
"HBAN","Huntington Bancshares","Financials","http://finance.yahoo.com/q?s=HBAN"
"ITW","Illinois Tool Works","Industrials","http://finance.yahoo.com/q?s=ITW"
"IR","Ingersoll-Rand PLC","Industrials","http://finance.yahoo.com/q?s=IR"
"TEG","Integrys Energy Group Inc.","Utilities","http://finance.yahoo.com/q?s=TEG"
"INTC","Intel Corp.","Information Technology","http://finance.yahoo.com/q?s=INTC"
"ICE","IntercontinentalExchange Inc.","Financials","http://finance.yahoo.com/q?s=ICE"
"IBM","International Bus. Machines","Information Technology","http://finance.yahoo.com/q?s=IBM"
"IFF","International Flav/Frag","Materials","http://finance.yahoo.com/q?s=IFF"
"IGT","International Game Technology","Consumer Discretionary","http://finance.yahoo.com/q?s=IGT"
"IP","International Paper","Materials","http://finance.yahoo.com/q?s=IP"
"IPG","Interpublic Group","Consumer Discretionary","http://finance.yahoo.com/q?s=IPG"
"INTU","Intuit Inc.","Information Technology","http://finance.yahoo.com/q?s=INTU"
"ISRG","Intuitive Surgical Inc.","Health Care","http://finance.yahoo.com/q?s=ISRG"
"IVZ","Invesco Ltd.","Financials","http://finance.yahoo.com/q?s=IVZ"
"IRM","Iron Mountain Incorporated","Industrials","http://finance.yahoo.com/q?s=IRM"
"JBL","Jabil Circuit","Information Technology","http://finance.yahoo.com/q?s=JBL"
"JEC","Jacobs Engineering Group","Industrials","http://finance.yahoo.com/q?s=JEC"
"JDSU","JDS Uniphase Corp.","Information Technology","http://finance.yahoo.com/q?s=JDSU"
"JNJ","Johnson  Johnson","Health Care","http://finance.yahoo.com/q?s=JNJ"
"JCI","Johnson Controls","Consumer Discretionary","http://finance.yahoo.com/q?s=JCI"
"JOY","Joy Global Inc.","Industrials","http://finance.yahoo.com/q?s=JOY"
"JPM","JPMorgan Chase  Co.","Financials","http://finance.yahoo.com/q?s=JPM"
"JNPR","Juniper Networks","Information Technology","http://finance.yahoo.com/q?s=JNPR"
"K","Kellogg Co.","Consumer Staples","http://finance.yahoo.com/q?s=K"
"KEY","KeyCorp","Financials","http://finance.yahoo.com/q?s=KEY"
"KMB","Kimberly-Clark","Consumer Staples","http://finance.yahoo.com/q?s=KMB"
"KIM","Kimco Realty","Financials","http://finance.yahoo.com/q?s=KIM"
"KMI","Kinder Morgan","Energy","http://finance.yahoo.com/q?s=KMI"
"KLAC","KLA-Tencor Corp.","Information Technology","http://finance.yahoo.com/q?s=KLAC"
"KSS","Kohl's Corp.","Consumer Discretionary","http://finance.yahoo.com/q?s=KSS"
"KFT","Kraft Foods Inc-A","Consumer Staples","http://finance.yahoo.com/q?s=KFT"
"KR","Kroger Co.","Consumer Staples","http://finance.yahoo.com/q?s=KR"
"LLL","L-3 Communications Holdings","Industrials","http://finance.yahoo.com/q?s=LLL"
"LH","Laboratory Corp. of America Holding","Health Care","http://finance.yahoo.com/q?s=LH"
"LRCX","Lam Research","Information Technology","http://finance.yahoo.com/q?s=LRCX"
"LM","Legg Mason","Financials","http://finance.yahoo.com/q?s=LM"
"LEG","Leggett  Platt","Consumer Discretionary","http://finance.yahoo.com/q?s=LEG"
"LEN","Lennar Corp.","Consumer Discretionary","http://finance.yahoo.com/q?s=LEN"
"LUK","Leucadia National Corp.","Financials","http://finance.yahoo.com/q?s=LUK"
"LXK","Lexmark Int'l Inc","Information Technology","http://finance.yahoo.com/q?s=LXK"
"LIFE","Life Technologies","Health Care","http://finance.yahoo.com/q?s=LIFE"
"LLY","Lilly (Eli)  Co.","Health Care","http://finance.yahoo.com/q?s=LLY"
"LTD","Limited Brands Inc.","Consumer Discretionary","http://finance.yahoo.com/q?s=LTD"
"LNC","Lincoln National","Financials","http://finance.yahoo.com/q?s=LNC"
"LLTC","Linear Technology Corp.","Information Technology","http://finance.yahoo.com/q?s=LLTC"
"LMT","Lockheed Martin Corp.","Industrials","http://finance.yahoo.com/q?s=LMT"
"L","Loews Corp.","Financials","http://finance.yahoo.com/q?s=L"
"LO","Lorillard Inc.","Consumer Staples","http://finance.yahoo.com/q?s=LO"
